# Unique Id,DIST
0, 0.01
1, 0.00
2, 0.00
3, 0.00
4, 0.02
5, 0.25
6, 0.25
7, 0.25
8, 0.10
9, 0.04
10, 0.75
11, 0.75
12, 0.00
13, 0.00
14, 0.00
15, 0.02
16, 0.25
17, 0.02
18, 0.00
19, 0.25
20, 0.25
21, 0.88
22, 0.06
23, 0.00
24, 0.00
25, 0.00
26, 0.02
27, 0.25
28, 0.02
29, 0.00
30, 0.25
31, 0.00
32, 0.00
33, 0.25
34, 0.00
35, 0.00
36, 0.00
37, 0.02
38, 0.25
39, 0.25
40, 0.00
41, 0.25
42, 0.00
43, 0.00
44, 0.25
45, 0.25
46, 0.25
47, 0.83
48, 0.25
49, 0.25
50, 0.25
51, 0.25
52, 0.25
53, 0.25
54, 0.25
55, 0.00
56, 0.25
57, 0.00
58, 0.02
59, 0.25
60, 0.25
61, 0.00
62, 0.25
63, 0.00
64, 0.00
65, 0.25
66, 0.00
67, 0.00
68, 0.00
69, 0.02
70, 0.25
71, 0.25
72, 0.00
73, 0.25
74, 0.00
75, 0.00
76, 0.25
77, 0.00
78, 0.00
79, 0.00
80, 0.00
81, 0.25
82, 0.00
83, 0.00
84, 0.00
85, 0.00
86, 0.00
87, 0.01
88, 0.00
89, 0.00
90, 0.00
91, 0.00
92, 0.25
93, 0.25
94, 0.00
95, 0.25
96, 0.00
97, 0.00
98, 0.00
99, 0.25
100, 0.00
101, 0.00
102, 0.00
103, 0.00
104, 0.00
105, 0.01
106, 0.00
107, 0.00
108, 0.00
109, 0.00
110, 0.25
111, 0.00
112, 0.00
113, 0.00
114, 0.00
115, 0.00
116, 0.25
117, 0.25
118, 0.06
119, 0.00
120, 0.00
121, 0.01
122, 0.00
123, 0.00
124, 0.00
125, 0.00
126, 0.00
127, 0.06
128, 0.00
129, 0.00
130, 0.00
131, 0.01
132, 0.00
133, 0.00
134, 0.00
135, 0.00
136, 0.00
137, 0.01
138, 0.00
139, 0.00
140, 0.00
141, 0.00
142, 0.25
143, 0.00
144, 0.00
145, 0.25
146, 0.17
147, 0.00
148, 0.01
149, 0.00
150, 0.25
151, 0.00
152, 0.00
153, 0.25
154, 0.00
155, 0.00
156, 0.25
157, 0.00
158, 0.06
159, 0.25
160, 0.00
161, 0.00
162, 0.00
163, 0.00
164, 0.25
165, 0.00
166, 0.00
167, 0.00
168, 0.00
169, 0.00
170, 0.01
171, 0.00
172, 0.79
173, 0.00
174, 0.25
175, 0.00
176, 0.25
177, 0.00
178, 0.00
179, 0.00
180, 0.00
181, 0.00
182, 0.01
183, 0.25
184, 0.90
185, 0.06
186, 0.25
187, 0.25
188, 0.17
189, 0.00
190, 0.25
191, 0.00
192, 0.25
193, 0.25
194, 0.00
195, 0.00
196, 0.00
197, 0.00
198, 0.25
199, 0.00
200, 0.00
201, 0.00
202, 0.00
203, 0.00
204, 0.25
205, 0.00
206, 0.00
207, 0.00
208, 0.25
